Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2015-09-22,56.8071597908,57.2557041955,56.37833203,7555400,57.162051
2015-09-23,57.1620505279,57.4725784234,56.7825126545,9055800,56.895882
2015-09-24,56.3389021396,56.7578698493,55.9445776466,14352600,56.580424
2015-09-25,60.6912394751,62.0812281009,60.4792908549,36968200,61.612971
2015-09-28,61.3665193906,61.4946753566,59.5674196435,16450800,60.203266
2015-09-29,60.1342597666,60.1786191342,58.680195128,14414400,58.985793
2015-09-30,59.5132001158,60.6863135512,59.5132001158,9437800,60.612377
2015-10-01,60.706030459,61.0904944149,59.7793689042,8994200,61.036275
2015-10-02,60.1786187726,61.71648,59.9173807626,9114400,61.71648
2015-10-05,62.0270084258,62.347396862,61.1644268285,9646400,61.25315
2015-10-06,61.2531506122,61.5143925703,60.4250717777,7665400,60.720817
2015-10-07,60.9278351673,61.3418723602,59.6413558418,10215400,60.183549
2015-10-08,60.5877305384,61.731267287,60.4645045957,7622600,61.568612
2015-10-09,61.3960925958,61.7805565505,61.1644268381,6940600,61.583398
2015-10-12,61.7115508807,62.648068542,61.6228282016,5449000,62.317824
2015-10-13,62.1058747016,62.372043229,61.9037821853,6355400,62.012222
2015-10-14,62.1009445508,62.4065463647,61.8052027838,6509000,62.027008
2015-10-15,62.7072180254,63.6683788969,62.5790620596,10764800,63.481073
2015-10-16,63.8310378529,64.3683009875,63.5205060151,9321600,64.309155
2015-10-19,64.9203583523,65.8125126885,64.6246131359,12587800,65.659714
2015-10-20,65.5808475039,65.7336466855,65.0485104511,8869400,65.245669
2015-10-21,65.3836822284,65.664640828,64.9795050796,5504000,65.294963
2015-10-22,65.4921212975,65.7780064692,64.3633751173,9294800,65.26539
2015-10-23,65.5907075073,65.6547800677,63.5402263646,10517800,64.338728
2015-10-26,64.2105763204,65.1766637699,64.2105763204,6882800,64.7577
2015-10-27,64.5703942288,64.6886935987,63.9099051449,6150000,64.481675
2015-10-28,64.9252855659,65.0879447971,64.0429838678,7091400,64.713333
2015-10-29,64.4126613549,64.8020592773,64.0577775404,4959000,64.62954
2015-10-30,64.8414919301,64.8759912505,64.1119963276,7230800,64.58518
2015-11-02,64.9302120801,65.0632980705,63.8113259368,6123200,64.664047
2015-11-03,64.6886928193,64.9154246088,64.412660795,5492000,64.767552
2015-11-04,64.7626258977,64.9992177359,64.0183441618,5190200,64.254936
2015-11-05,64.6591124963,65.2801756768,64.3042286858,5068200,64.994291
2015-11-06,64.8661387722,65.5266278491,64.7478394034,4837600,64.954858
2015-11-09,64.6936198749,64.7774125301,63.717672381,6181200,64.314082
2015-11-10,64.1218493676,64.4175945866,63.8458247356,5287400,64.07749
2015-11-11,64.2155022664,64.3683009554,62.7367909655,8578000,62.805797
2015-11-12,62.5987783633,63.0916821299,61.8150633459,9388000,62.096018
2015-11-13,61.6524046348,61.7214106698,59.7152928157,16371000,60.065254
2015-11-16,60.0356807128,60.863759047,59.8089415281,9146400,60.853899
2015-11-17,60.6518102644,60.9229048728,59.3554708872,10581600,60.420145
2015-11-18,60.6468796712,62.1206609411,60.4595777194,10597800,61.997435
2015-11-19,62.2340302856,62.5938480621,61.8002725084,8557600,61.997435
2015-11-20,65.0978042217,65.4576220015,64.3140818071,19064800,65.383682
2015-11-23,65.4674823577,65.5562015862,64.9548584923,7135600,65.290037
2015-11-24,64.8809256121,65.5463412645,64.6985462884,5311600,65.314676
